cLO_pT,cLO_phi,cLO_eta,c_pT,c_phi,c_eta,chad_pT,chad_phi,chad_eta,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbar_pT,cbar_phi,cbar_eta,cbarhad_pT,cbarhad_phi,cbarhad_eta,d1_pT,d1_phi,d1_eta,d1bar_pT,d1bar_phi,d1bar_eta,d2_pT,d2_phi,d2_eta,d2bar_pT,d2bar_phi,d2bar_eta,d3_pT,d3_phi,d3_eta,d3bar_pT,d3bar_phi,d3bar_eta,d4_pT,d4_phi,d4_eta,d4bar_pT,d4bar_phi,d4bar_eta,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.92182,-2.41288,3.82538,2.57146,-2.1097,3.56918,1.61585,-1.95701,4.23271,1.92182,0.72871,1.21312,1.76636,0.490792,1.23216,1.33668,0.157533,1.19639,1.85013,-1.69772,3.73376,0.0713216,-2.26075,3.72805,0.504718,2.40671,4.20906,1.39094,0.191477,0.369934,0.348811,1.78218,3.89316,0.301282,-3.13285,4.02432,0.591523,0.130146,0.688048,0.801351,0.236737,0.107729,81,2,1.92145,1,0.591523
0.79529,0.398417,7.03502,2.55751,0.334911,5.82183,1.46101,0.36286,6.58411,0.79529,-2.74318,3.37618,1.10364,2.04383,3.18674,0.75342,1.85048,4.03544,0.662966,-0.343341,5.92923,1.07128,1.04663,2.96923,1.0489,0.785504,6.64666,0.771421,-2.87489,3.34249,0.154338,1.0073,7.41281,0.898984,0.747728,6.42026,0.0839825,2.94479,4.47645,0.69731,-2.82102,3.03097,75,2,1.79686,0,0
2.79144,0.0119971,-2.75819,2.33034,0.148879,-3.20635,0.940491,0.0339721,-3.55075,2.79144,-3.1296,-3.57318,3.48593,2.92669,-3.44054,2.96707,2.97603,-3.77345,1.03351,0.110262,-2.37827,2.64179,2.71933,-3.55527,0.119616,-2.38876,-5.20022,0.787073,-2.28703,-3.8429,0.144415,-0.0147245,-4.4829,0.245,-2.81045,-3.59436,0.754506,-2.37822,-3.64781,0.0774307,-1.19545,-4.60775,250,4,1.38458,2,2.81128
7.03779,2.38426,-4.07369,4.8147,2.35847,-4.32049,4.0663,2.20606,-4.54204,7.03779,-0.757337,-2.45292,4.74928,-0.872807,-2.29812,6.40926,-1.04271,-2.38073,2.10695,2.4488,-4.79492,4.63766,-0.874169,-2.29498,2.08361,1.96054,-4.11042,1.99523,-1.44325,-2.45865,1.0804,2.03932,-4.26219,1.01014,1.87627,-3.90937,0.197269,-1.2799,-2.38052,1.80087,-1.46106,-2.46527,194,4,3.45916,5,10.0514
1.54858,2.0571,8.39592,1.65878,2.0782,8.3512,1.65186,2.25301,8.70726,1.54858,-1.0845,7.51583,1.43572,-1.11632,7.53563,0.972194,-1.15647,7.62421,0.611034,1.69008,8.15839,1.47191,-1.04658,6.9417,1.18103,2.53275,8.80242,0.516704,2.30285,6.80769,0.733456,2.61264,8.48697,0.4537,2.40337,9.15578,0.539404,2.41991,6.44398,0.0658074,0.439023,7.57514,78,2,1.18716,1,1.47191
0.289262,2.63278,-9.8057,0.221948,-2.74373,-10.0714,0.374682,2.81709,-10.3128,0.289262,-0.508813,-5.83409,0.370317,-1.92756,-5.60824,0.318778,2.65937,-5.09871,0.854126,1.27817,-8.90899,0.789242,-2.32079,-3.9019,0.921692,-2.28183,-8.59158,0.769016,1.23205,-2.84388,0.518307,-2.60396,-8.27036,0.460289,-1.91731,-8.76195,0.448883,1.66493,-2.54129,0.407635,0.751878,-2.91591,70,0,0,0,0
0.658949,2.33986,-8.95683,0.579529,2.54577,-9.07988,1.16538,2.03484,-9.14232,0.658949,-0.801732,-7.57215,0.733369,-0.837633,-7.49339,0.984976,-0.514398,-7.16376,1.28476,2.70123,-8.45719,1.16285,-1.28494,-6.61883,0.809254,0.65738,-8.69587,0.823835,0.872565,-6.18851,0.12601,0.444915,-8.24122,0.686592,0.69609,-8.75619,0.197833,1.51213,-6.66185,0.675501,0.696866,-5.90007,61,0,0,0,0
3.66283,-0.131559,-1.90198,6.70999,-0.0120482,-1.40407,4.50327,-0.0531098,-1.32369,3.66283,3.01003,-0.68075,1.86887,2.16292,0.255586,1.56817,1.96224,0.745353,1.15073,-0.298157,-1.8117,0.844083,0.857615,0.806635,3.3984,0.0291305,-1.08115,1.40774,2.52749,0.36344,2.59436,0.0316994,-1.01236,0.804073,0.0208418,-1.28011,0.730718,2.68874,0.120066,0.696458,2.35823,0.589824,404,14,8.20099,8,6.01889
1.53507,1.04246,-0.387021,1.55009,1.88673,-0.435502,0.725749,2.24653,0.826325,1.53507,-2.09913,-1.73966,1.70726,-1.96941,-1.70898,1.37214,-2.10907,-1.65438,0.865981,-2.68264,0.458739,0.71593,-1.56418,-2.17427,1.00313,1.24356,0.255388,0.84566,-2.56334,-0.401777,0.24215,1.89285,0.0730698,0.823374,1.06479,0.288988,0.69781,-2.57023,-0.569932,0.147944,-2.53087,0.460765,69,1,0.302972,0,0
1.07404,0.457128,-8.06337,0.94185,0.498059,-8.03167,1.17466,0.018402,-8.48203,1.07404,-2.68446,-6.6208,1.73575,-2.58281,-6.51773,0.973218,-2.82038,-6.77201,0.257397,-0.403384,-8.29425,1.16611,2.94133,-5.76174,0.945716,0.130058,-8.49841,0.582152,-1.18444,-6.71269,0.583251,-0.220357,-8.34835,0.445444,0.596254,-8.49457,0.0212312,3.07998,-8.76683,0.591657,-1.15209,-6.36176,82,3,1.28609,1,0.127867
